x,y
956593,1794235
963132,1799201
963886,1797963
962666,1799949
963599,1799493
966541,1801922
974682,1801508
962444,1801267
962193,1801658
962896,1800804
962029,1800963
976874,1809470
977101,1810153
937819,1875917
922298,1878122
936244,1883165
935190,1884653
922727,1878354
999864,1792453
999031,1789961
998589,1790051
999611,1789442
999963,1789469
999038,1789549
980388,1829689
979800,1830424
979174,1834162
977468,1834942
981976,1843836
981519,1845748
981911,1844878
982548,1845055
982025,1844363
978454,1834997
947058,1808916
946386,1808926
928897,1781627
928724,1782695
937336,1787445
927894,1786666
926420,1787722
926430,1788315
927187,1790828
950770,1823837
937062,1829531
939022,1828496
921645,1836884
926979,1843870
921730,1834285
918037,1844714
924240,1845164
924241,1844787
925446,1844927
928996,1846543
925244,1846488
928631,1846059
931461,1845439
925121,1845590
936252,1853295
939994,1855328
938093,1854327
925740,1856558
942747,1860301
940731,1859316
940060,1855840
896371,1835744
893951,1846745
890760,1862792
892025,1862866
892548,1862382
893108,1862132
894746,1862315
965971,1756671
964967,1758128
964399,1757533
965947,1757362
967097,1759872
966019,1759945
966042,1760875
966536,1760421
969008,1762276
969343,1761480
965486,1761281
929295,1774404
927879,1774174
927240,1774327
929996,1775074
929282,1775985
929673,1776204
926504,1775045
950152,1771616
951564,1774085
953241,1773672
952842,1773666
951869,1772231
950353,1772377
941399,1729703
941728,1729553
942647,1729389
939224,1732131
941273,1730724
942661,1733087
942187,1730104
989082,1711540
989825,1713390
988760,1712172
988487,1712350
944494,1755996
945264,1756478
944994,1758048
947013,1756960
945538,1757152
964081,1736968
961408,1768321
1013727,1775287
961872,1706617
925109,1712374
930547,1747985
931234,1748134
930992,1748478
927339,1748448
898653,1644338
902285,1645512
899049,1645474
898776,1645483
899523,1645475
898432,1645503
902902,1645880
900220,1646274
902394,1646630
901625,1646716
901205,1647340
899344,1647001
901053,1646815
896360,1646046
898747,1645898
901177,1645937
901813,1645939
901624,1646255
1021163,1638458
1020870,1638600
1017772,1639382
1018896,1639454
1018346,1639394
1017978,1641611
1014889,1641330
1014278,1640746
1015300,1640557
1014904,1640799
999405,1660551
1000172,1661181
1002060,1661484
1002889,1661995
998589,1662442
1000535,1666070
1001885,1662570
1001727,1662098
1002359,1662277
1002641,1662471
928333,1666986
933913,1669911
935742,1668984
928246,1671462
939924,1672622
928950,1671481
1017859,1660417
1017239,1660533
1020282,1661585
1010629,1662828
1005951,1663274
1006478,1663076
1007216,1663162
1016401,1660979
1008111,1664400
1008160,1663967
1008522,1664012
1012713,1663422
952100,1692075
946283,1699277
944982,1698135
953061,1702292
952023,1702679
952998,1702800
952722,1700644
981247,1698108
982020,1698511
996983,1689908
996823,1691133
966517,1614903
980640,1623941
984439,1649218
991099,1649627
946279,1673380
952852,1673528
943759,1629459
944994,1631041
945484,1631135
947451,1631682
945842,1631442
945363,1631824
935010,1626191
927489,1634418
937080,1636423
916287,1618863
917636,1619374
918204,1620006
917396,1620104
908479,1638842
906911,1639420
906222,1639881
926105,1649933
925909,1652415
904689,1642644
905370,1641823
908177,1650815
901919,1659034
907117,1666939
902596,1669225
911856,1670038
918466,1687662
909929,1697040
909171,1698226
904760,1707189
905309,1699316
909005,1698767
938459,1693502
935080,1699415
937576,1694994
934828,1700855
943941,1713074
935512,1701665
932334,1699955
933536,1700114
933882,1699887
930564,1591996
889684,1616508
1166079,1781050
1167700,1783690
1167235,1781981
1155534,1761276
1154144,1762221
1155914,1765849
1155807,1765360
1155627,1764815
1155157,1764940
1155027,1762165
1060282,1790555
1058669,1791310
1056275,1791431
1052226,1792247
1055564,1793183
1055608,1792598
1055148,1792722
1054114,1792019
